"Invite the people to boycott the upcoming box office movies that will be released soon . Don't forget that the movie industry is also their biggest contributor , what's more , the movie Wonder Woman clearly shows the perpetrators of the Jewish race . Try to see the movie in the Mat Kilau country box office in our country alone , how much has it collected . ",Matched_Words
"always proud of what our nation can achieve . I support local films . To do better we need to compete productively . In this era , the source of movies is limitless . Ola Bola , Mat Kilau to name a few are all local blockbusters . Give it sometimes for local films to grow . ","product, product"
"about reading a book to know this history , I once talked to someone who saw the movie Mat Kilau and completely believed what he showed . when I told him to read a book , he said I don't know Malay . I'm too lazy to debate with people who want to go to the toilet",histori
MALAYSIANS remember when we were all obsessed over Mat Kilau (the movie)? especially the girls when we thought some of the 6 casts were,cast
"I don't even quote Mat Kilau because I know his history is not the same as what I read in the book , so people use the movie as an ideology . Sometimes I ask the gangs who watch this movie if there are certain scenes that don't follow history",histori
remind me there is a parade from the cast of the movie eramalat cuz last year there was a mat,cast
"But honestly , Mat Kilau is not very strong plot-wise . The movie has strong support because it has a political element",plot
"There is a Kanang Anak Kankau movie . Even made earlier than Mat Kilau . The women just make it worse , they say we are racist towards them . Very influenced by the black narrative",narr
"If the movie follows the historical facts about Mat Kilau , it will look 10 times more supremacy because he really fought all the way . His life story is sad . He was under-appreciated",stori
Just watched Sultan Agung on Netflix . I must say every single thing in this movie is far beyond better than Mat Kilau . Story telling: 10 Plot: 10 Script: 10 Cinematography: 9 Acting:,"cinematographi, act, stori, plot, script"
I don't think that's the reason . The people are now ready to vote . . nonsensical stories have no essence . What do you want to support? Example of movie mat,stori
"Tbh right now , you gimme one podium and i read out what i have , i sound like im in the mat kilau movie",sound
Mat Kilau movies like that are also high-grossing . Good quality Evo police can't even get the collection they deserve . ,qualiti
"In my experience doing startup is investors will put money in ventures that they can relate with . So I guess FINAS people are those who like these kinds of movies , not Star Wars , Shutter Island and Mat",experi
"Where? We were in MMU Theater competitions together . Perempuan Itu (long time no TV especially Malay drama) is it Isma's? For years I never followed , last Malay stories I watched was Mat Kilau & the aviation movie",stori
Uncle . I just finished watching Extraction 2 . Sol Mat Kilau shot the movie,shot
"You have to make a quality movie to lift your spirits History - ""Mat Kilau"" BM - BI - Math - Science","histori, qualiti"
"Just look at the Mat Kilau of the movie , how do you know how to use history as you see fit . Don't look at it comprehensively . The one who makes the movie and the one who watches the movie . The mentality is the same",histori
"Polis evo 3 is good . It's not powerful , but it's delicious . I don't think it's a waste to watch a local movie like this near the cinema . Light plot . Action sequence is nice , even better than Mat Kilau in terms of sound and camera angle . The armor plot is thick , but if you look at one piece , you don't even complain . ","plot, sound"
Just watched polis evo 3 . Was an okay movie . Predictable plot . 6/10 for me . BOOT!! Everyone else laughed and enjoyed the movie so much . Ready to get applause from people in the movie hall . But this one can get applause better than the Mat Kilau movie,plot
"Ermm . . it feels like there are many free tickets at mat kilau . . I got free tickets at mat kilau 4 times . . police evo 3 twice . . I haven't been able to get this anwar untold story because it's fun to run out of free ones . . just like any free movie I've ever had I don't know hahahah . . if it's possible , I'll do it like this for another movie","stori, feel"
"So movie bangnon with Mat Kilau , where else? Dialogue , story line , ",stori
"Mat Kilau . The advertisement is too much . I was also affected . When I saw it , I stopped . 1 old plot . Cinema even gives full slots/day instead of 4 slots/day per cinema movie",plot
"Make fun of him because he doesn't focus on the story line and then tears up . . The message of the movie is good and important , there is no touch plate . You're just dizzy","stori, touch"
"Both are not the best . Objectively speaking , this movie opened strong then withered as an unnecessary PSA that made the ending feel abrupt . Mat Kilau was horrifying in terms of blatant propaganda packaged as a warrior",feel
"Example for me , I strongly disagree with reviewers who say Mat Kilau is the best . I don't like the other movies he recommended . So I ignore him . Chris Stuckkman(?) recommends a lot of stories that I like . There are a few that don't match but so far I'm satisfied",stori
"To this day , I'm strange , how did Mamat turn the movie review for a high rating on that Mat Kilau . When he reviews , he always emphasizes the aspect of cinematography , but in Mat Kilau , it is badly destroyed . The cackling camera is too bad . Campelaq . That's the one",cinematographi
That's the quantity . Great a movie based on quality not quantity . That's the level of taste Malaysians want to make . Do many Malaysians watch the highest rated movie worldwide? That's why it flopped when it entered the Indonesian market . The quality of Indonesian movies is much better,qualiti
"Why did I think of Bell? Hahahaha eheh Beto in Mat Kilau . After the movie , he eclipsed everyone1 I think . This Raya , his face is everywhere! + The star moon & the sweet fat song are over",beto
"Mat Kilau , the first movie in my life . Soo next we wait , Malbat Mission Bakara | Black Hawk Down . If history he follows what America and the West write . Auto",histori
"because I don't know you very well , not because of race . If Chin View is making a movie with Mat Kilau and Yusof Haslam's son or the devil boy actor , what's the point? lol . like the case of shooting a pregnant wife , because the perpetrators are not female so there is no hype . That's because of him",actor
what if Malaysia were to make a film on Mahsuri history? would it have a great feedback and engagements such as Mat Kilau and other historic,histori
"Many movies I've seen in the cinema , but the movies are the most wasteful . It's more hype than the story , it's biased , it's more of a war scene",stori
i saw munafik and mat kilau movies and i feel like they are made are made for boring people it is so . . . local omggg . usually love the direction and theme of these but the execution and script are rubbish,"direct, script, feel"
last got a movie leak story mat kilau full movie looks like it looks like,stori
People say that Mat Kilau movie is bad because of bad script . But I didn't expect it was actually REALLY BAD The characters don't have realistic conversations . They just throw 'big quotes' on every chance they get . Like a coffee chat to fight who can say the 'wokest',script
His movies are rubbish . You idiots are quickly impressed with Mat,impress
"In terms of history and heritage , there seems to be no promotion while Pahang could have ride on the Mat Kilau movie and sell Kg Pulau Tawar as a tourism object . Sell Ulu Cheka via Pawang Noh a lesser known legend . There is a Pawang Noh Gallery in Ulu Cheka that is not on the tourism",histori
"Some kuning likes to make plots , Raja Abdullah for example . The regiment may be a plot just like how Javanese joined Heiho during Jp occupation there , then used the combat skills to fight against imperialists . But watching Mat Kilau movie followed by Lt . Adnan movie is just",plot
"I looked at tiktok and suddenly came out after the syamsul/aaron mess . Haha , having watched syamsul's movies , I think he's suitable for gangsters . I was madly disappointed that day . His narration is beautiful . But oh God , his cinematography is ruined . I want to see",cinematographi
"I doubt she would be as successful as she is now even if she got full support . Malaysia's market power is too low compared to Hong Kong and Hollywood . Just look Mat Kilau , highest grossing but only 97 mil ringgit far cry from the most mediocre direct to cd Disney movies",direct
"I think EEAAO is also a story that if a fan of the Mat Kilau movie sees , he will not understand and will not",stori
"please differentiate between soap operas and movies , and what is the difference between malay moves better? the fact is that msians movies are still far below the level of indo , mat kilaua which was boasted in the past is even equivalent to the quality of indo years","move, qualiti"
Imaginary . One of the movies I couldn't sleep this year . Solid like the second Malay story I didn't sleep after the luster . Maybe Beto Kusyairi's and Diana Danielle's acting will be right . I can't sleep because everything is a problem and unpredictable . ,"beto, act, stori"
Yes . . . . I think so too he is protecting his money and other assets . . . . his Mat Kilau movie which he directed made RM 100 million in the box office,direct
"It's nice to know that the movie is the best and is there any content? After leaving the movie , you feel like watching it again . make me feel like that . Mat Kilau makes me want to refund my money & time . ",feel
"The film industry here wants to win an Oscar at the Academy Awards so bad but when you send a mediocre (personally IMO , really badly made) movie like Mat Kilau as a contender , I feel like there is no",feel
Mat Kilau . There is no historical story . Letop2 can box office . It seems that Malaysians like this type of movie,stori
"Some people say that Anwar's untold story is not to be believed because there may be additions to make the story more beautiful . that's the end of the Mat Kilau story , that's very true . just relax both of them",stori
