THOSE O -100
WHO O -100
THINK O -100
OF O -100
SUPPORTING O -100
THE O Negative
COLONIZERS B-ASP -100
AGAIN O -100
CAN O -100
BE O -100
PULLED O -100
OUT O -100
! O -100
PTUI O -100
! O -100
" O -100

" O -100
Me O -100
explaining O -100
to O -100
my O -100
colleague O -100
how O Neutral
Hamas B-ASP -100
is O -100
penjuang O -100
tuntut O -100
kemerdekaan O -100
blablabla O -100

Photocopy B-ASP -100
machine O -100
: O -100
. O -100
. O -100
. O -100

Me O -100
: O -100
Mat O -100
Kilau O -100
? O -100
Macam O Neutral
movie B-ASP -100
tu O -100
, O -100
you O -100
mean O -100
? O -100
" O -100

  O -100
" O -100
Of O -100
course O -100
, O -100
Mat O -100
Kilau O -100
is O -100
a O -100
fighter O -100
. O -100
He O -100
fought O -100
against O -100
the O -100
oppression O -100
of O -100
his O -100
time O -100
. O -100
@ O -100
jobzasia O -100
, O -100
he O -100
’ O -100
s O -100
not O -100
a O -100
gangster O -100
who O -100
collects O -100
taxes O -100
. O -100
Gangster O -100
people O -100
are O -100
number O -100
1 O -100
running O -100
away O -100
from O -100
war O -100
. O -100
lg O -100
1 O -100
, O -100
fuck O Negative
movie B-ASP Negative
mat I-ASP -100
kilau O -100
. O -100
hehehehe O -100
" O -100

Like O -100
I O -100
really O -100
wanted O -100
and O -100
I O -100
prayed O -100
my O -100
son O -100
to O -100
have O -100
this O -100
kind O -100
of O Positive
bravery B-ASP -100
and O -100
pegangan O -100
kepada O -100
Islam O -100
tu O -100
teguh O -100
dalam O -100
sanubari O -100
dia O -100
. O -100

Hence O -100
his O Neutral
name B-ASP -100
now O -100
" O -100

He O -100
remembers O -100
him O -100
as O -100
Mat O -100
Kilau O -100
in O -100
the O -100
movie O -100
who O -100
hates O -100
colonial O Negative
English B-ASP -100

  O -100
" O -100
I O -100
remember O -100
the O -100
time O -100
of O -100
the O -100
phenomenon O -100
of O -100
the O -100
movie O -100
Mat O -100
Kilau O -100
, O -100
when O -100
more O -100
and O -100
more O -100
people O -100
were O -100
proud O -100
to O -100
be O -100
Malay O -100
, O -100
wearing O Positive
traditional B-ASP -100
clothes O -100
, O -100
at O -100
that O -100
time O -100
there O -100
were O -100
many O -100
crazy O -100
people O -100
who O -100
didn O -100
’ O -100
t O -100
like O -100
it O -100
, O -100
understand O -100
where O -100
it O -100
came O -100
from O -100
. O -100
These O -100
things O -100
will O -100
make O -100
Malay O -100
extremists O -100
like O -100
the O -100
Taliban O -100
. O -100
It O -100
is O -100
not O -100
impossible O -100
that O -100
the O -100
Malays O -100
themselves O -100
will O -100
come O -100
under O -100
the O -100
terrorist O -100
stamp O -100
" O -100

Mat O -100
kilau O -100
Indian O Neutral
movie B-ASP -100

No O -100
other O -100
Malaysian O -100
movie O -100
could O -100
match O -100
its O -100
theatrical O -100
, O Positive
comedic B-ASP -100
and O -100
historic O -100
- O -100
inaccuracy O -100
value O -100
. O -100
. O -100
. O -100

Best O Positive
line B-ASP -100
: O -100

  O -100
" O -100
That O -100
’ O -100
s O -100
why O -100
in O -100
the O Negative
movie B-ASP Negative
mat I-ASP -100
kilau O -100
, O -100
the O -100
British O -100
captain O -100
once O -100
said O -100
, O -100
we O -100
are O -100
a O -100
weak O -100
nation O -100
, O -100
a O -100
divided O -100
nation O -100
, O -100
we O -100
are O -100
never O -100
United O -100
. O -100
That O -100
’ O -100
s O -100
why O -100
you O -100
’ O -100
re O -100
weak O -100
. O -100
What O -100
he O -100
said O -100
is O -100
true O -100
, O -100
I O -100
agree O -100
, O -100
if O -100
we O -100
all O -100
unite O -100
, O -100
our O -100
nation O -100
will O -100
be O -100
strong O -100
. O -100
It O -100
is O -100
sad O -100
that O -100
our O -100
nation O -100
is O -100
divided O -100
" O -100

" O -100
Hamas O -100
is O -100
a O -100
Hero O -100
for O -100
Palistinian O -100
, O -100
see O -100
movie O -100
" O -100
" O -100
Mat O -100
Kilau O -100
" O -100
" O -100
, O -100
how O -100
he O -100
defend O -100
Melayu O -100
land O -100
from O Neutral
british B-ASP -100
colonial O -100
. O -100
Did O -100
he O -100
a O -100
terrorist O -100
? O -100
" O -100

when O -100
I O -100
told O -100
him O -100
to O -100
read O -100
a O -100
book O -100
, O -100
he O -100
said O -100
I O -100
don O -100
’ O -100
t O -100
know O -100
Malay O -100
. O -100
I O -100
’ O -100
m O -100
too O -100
lazy O -100
to O -100
debate O -100
with O -100
people O -100
who O -100
want O -100
to O -100
go O -100
to O -100
the O Neutral
toilet B-ASP -100
and O -100
ask O -100
the O -100
boss B-ASP -100
. O -100
" O -100

when O -100
I O -100
told O -100
him O -100
to O -100
read O -100
a O -100
